nome,nome_civil,partido,uf,periodo_mandato,telefones,email,data_nascimento,naturalidade,profissao,formacao,numero_mandatos,comissoes,link_perfil,fonte_dados,url_fonte,data_extracao,metodo_extracao
Camila Jara (PT-MS),Camila Jara,PT,MS,2023 - 2027,(61) 3215-5860,dep.camilajara@camara.leg.br,10/02/1995,Campo Grande - MS,,s,,"Agência Câmara de Notícias
Rádio Câmara
TV Câmara
Banco de Imagens
Assessoria de Imprensa
Comprove uma notícia",https://www.camara.leg.br/deputados/220548,Web Scraping HTML,https://www.camara.leg.br/deputados/quem-sao/resultado?search=&partido=&uf=&legislatura=&sexo=F,2025-12-07 15:59:22,BeautifulSoup - Câmara dos Deputados (filtro sexo=F)
Carla Ayres (PT-SC),"Carla Ayres
                    

Não está em exercício",PT,SC,3216 - 0000,(61) 3216-0000,,15/03/1988,Jales - SP,,,,"Agência Câmara de Notícias
Rádio Câmara
TV Câmara
Banco de Imagens
Assessoria de Imprensa
Comprove uma notícia",https://www.camara.leg.br/deputados/229106,Web Scraping HTML,https://www.camara.leg.br/deputados/quem-sao/resultado?search=&partido=&uf=&legislatura=&sexo=F,2025-12-07 15:59:22,BeautifulSoup - Câmara dos Deputados (filtro sexo=F)
Carla Dickson (UNIAO-RN),Carla Dickson,,,2023 - 2027,(61) 3215-5656,dep.carladickson@camara.leg.br,02/07/1976,Belém - PA,,s,,"Agência Câmara de Notícias
Rádio Câmara
TV Câmara
Banco de Imagens
Assessoria de Imprensa
Comprove uma notícia",https://www.camara.leg.br/deputados/213762,Web Scraping HTML,https://www.camara.leg.br/deputados/quem-sao/resultado?search=&partido=&uf=&legislatura=&sexo=F,2025-12-07 15:59:22,BeautifulSoup - Câmara dos Deputados (filtro sexo=F)
Carla Zambelli (PL-SP),Carla Zambelli,PL,SP,2023 - 2027,(61) 3215-5885,dep.carlazambelli@camara.leg.br,03/07/1980,Ribeirão Preto - SP,,s,,"Agência Câmara de Notícias
Rádio Câmara
TV Câmara
Banco de Imagens
Assessoria de Imprensa
Comprove uma notícia",https://www.camara.leg.br/deputados/204507,Web Scraping HTML,https://www.camara.leg.br/deputados/quem-sao/resultado?search=&partido=&uf=&legislatura=&sexo=F,2025-12-07 15:59:22,BeautifulSoup - Câmara dos Deputados (filtro sexo=F)
Carmen Zanotto (CIDADANIA-SC),"Carmen Zanotto
                    

Não está em exercício",CIDADANIA,SC,3216 - 0000,(61) 3216-0000,,06/10/1962,Lages - SC,,s,,"Agência Câmara de Notícias
Rádio Câmara
TV Câmara
Banco de Imagens
Assessoria de Imprensa
Comprove uma notícia",https://www.camara.leg.br/deputados/164360,Web Scraping HTML,https://www.camara.leg.br/deputados/quem-sao/resultado?search=&partido=&uf=&legislatura=&sexo=F,2025-12-07 15:59:22,BeautifulSoup - Câmara dos Deputados (filtro sexo=F)
Carol Dartora (PT-PR),Carol Dartora,PT,PR,2023 - 2027,(61) 3215-5623,dep.caroldartora@camara.leg.br,01/05/1983,Curitiba - PR,,s,,"Agência Câmara de Notícias
Rádio Câmara
TV Câmara
Banco de Imagens
Assessoria de Imprensa
Comprove uma notícia",https://www.camara.leg.br/deputados/220704,Web Scraping HTML,https://www.camara.leg.br/deputados/quem-sao/resultado?search=&partido=&uf=&legislatura=&sexo=F,2025-12-07 15:59:22,BeautifulSoup - Câmara dos Deputados (filtro sexo=F)
Caroline de Toni (PL-SC),Caroline de Toni,PL,SC,2023 - 2027,(61) 3215-5772,dep.carolinedetoni@camara.leg.br,01/09/1986,Chapecó - SC,,s,,"Agência Câmara de Notícias
Rádio Câmara
TV Câmara
Banco de Imagens
Assessoria de Imprensa
Comprove uma notícia",https://www.camara.leg.br/deputados/204369,Web Scraping HTML,https://www.camara.leg.br/deputados/quem-sao/resultado?search=&partido=&uf=&legislatura=&sexo=F,2025-12-07 15:59:22,BeautifulSoup - Câmara dos Deputados (filtro sexo=F)
Célia Xakriabá (PSOL-MG),Célia Xakriabá,PSOL,MG,2023 - 2027,(61) 3215-5619,dep.celiaxakriaba@camara.leg.br,10/05/1989,São Paulo - SP,,s,,"Agência Câmara de Notícias
Rádio Câmara
TV Câmara
Banco de Imagens
Assessoria de Imprensa
Comprove uma notícia",https://www.camara.leg.br/deputados/206018,Web Scraping HTML,https://www.camara.leg.br/deputados/quem-sao/resultado?search=&partido=&uf=&legislatura=&sexo=F,2025-12-07 15:59:22,BeautifulSoup - Câmara dos Deputados (filtro sexo=F)
Chris Tonietto (PL-RJ),Chris Tonietto,PL,RJ,2023 - 2027,(61) 3215-5446,dep.christonietto@camara.leg.br,14/05/1991,Rio de Janeiro - RJ,,s,,"Agência Câmara de Notícias
Rádio Câmara
TV Câmara
Banco de Imagens
Assessoria de Imprensa
Comprove uma notícia",https://www.camara.leg.br/deputados/204462,Web Scraping HTML,https://www.camara.leg.br/deputados/quem-sao/resultado?search=&partido=&uf=&legislatura=&sexo=F,2025-12-07 15:59:22,BeautifulSoup - Câmara dos Deputados (filtro sexo=F)
Clarissa Tércio (PP-PE),Clarissa Tércio,PP,PE,2023 - 2027,(61) 3215-5506,dep.clarissatercio@camara.leg.br,26/12/1984,Recife - PE,,s,,"Agência Câmara de Notícias
Rádio Câmara
TV Câmara
Banco de Imagens
Assessoria de Imprensa
Comprove uma notícia",https://www.camara.leg.br/deputados/220665,Web Scraping HTML,https://www.camara.leg.br/deputados/quem-sao/resultado?search=&partido=&uf=&legislatura=&sexo=F,2025-12-07 15:59:22,BeautifulSoup - Câmara dos Deputados (filtro sexo=F)
Coronel Fernanda (PL-MT),Coronel Fernanda,PL,MT,2023 - 2027,(61) 3215-5242,dep.coronelfernanda@camara.leg.br,13/11/1974,Cuiabá - MT,,s,,"Agência Câmara de Notícias
Rádio Câmara
TV Câmara
Banco de Imagens
Assessoria de Imprensa
Comprove uma notícia",https://www.camara.leg.br/deputados/220595,Web Scraping HTML,https://www.camara.leg.br/deputados/quem-sao/resultado?search=&partido=&uf=&legislatura=&sexo=F,2025-12-07 15:59:22,BeautifulSoup - Câmara dos Deputados (filtro sexo=F)
Cristiane Lopes (UNIAO-RO),Cristiane Lopes,,,2023 - 2027,(61) 3215-5618,dep.cristianelopes@camara.leg.br,17/11/1983,Porto Velho - RO,,s,,"Agência Câmara de Notícias
Rádio Câmara
TV Câmara
Banco de Imagens
Assessoria de Imprensa
Comprove uma notícia",https://www.camara.leg.br/deputados/220608,Web Scraping HTML,https://www.camara.leg.br/deputados/quem-sao/resultado?search=&partido=&uf=&legislatura=&sexo=F,2025-12-07 15:59:22,BeautifulSoup - Câmara dos Deputados (filtro sexo=F)
Daiana Santos (PCdoB-RS),Daiana Santos,PCdoB,RS,2023 - 2027,(61) 3215-5901,dep.daianasantos@camara.leg.br,29/01/1982,Júlio de Castilhos - RS,,s,,"Agência Câmara de Notícias
Rádio Câmara
TV Câmara
Banco de Imagens
Assessoria de Imprensa
Comprove uma notícia",https://www.camara.leg.br/deputados/220555,Web Scraping HTML,https://www.camara.leg.br/deputados/quem-sao/resultado?search=&partido=&uf=&legislatura=&sexo=F&pagina=2,2025-12-07 15:59:24,BeautifulSoup - Câmara dos Deputados (filtro sexo=F)
Dandara (PT-MG),Dandara,PT,MG,2023 - 2027,(61) 3215-5233,dep.dandara@camara.leg.br,23/01/1994,Gurinhatã - MG,,s,,"Agência Câmara de Notícias
Rádio Câmara
TV Câmara
Banco de Imagens
Assessoria de Imprensa
Comprove uma notícia",https://www.camara.leg.br/deputados/220629,Web Scraping HTML,https://www.camara.leg.br/deputados/quem-sao/resultado?search=&partido=&uf=&legislatura=&sexo=F&pagina=2,2025-12-07 15:59:24,BeautifulSoup - Câmara dos Deputados (filtro sexo=F)
Dani Cunha (UNIAO-RJ),Dani Cunha,,,2023 - 2027,(61) 3215-5950,dep.danicunha@camara.leg.br,19/05/1987,Rio de Janeiro - RJ,,s,,"Agência Câmara de Notícias
Rádio Câmara
TV Câmara
Banco de Imagens
Assessoria de Imprensa
Comprove uma notícia",https://www.camara.leg.br/deputados/220603,Web Scraping HTML,https://www.camara.leg.br/deputados/quem-sao/resultado?search=&partido=&uf=&legislatura=&sexo=F&pagina=2,2025-12-07 15:59:24,BeautifulSoup - Câmara dos Deputados (filtro sexo=F)
Daniela do Waguinho (UNIAO-RJ),Daniela do Waguinho,,,2023 - 2027,(61) 3215-5550,dep.danieladowaguinho@camara.leg.br,10/02/1976,Rio de Janeiro - RJ,,s,,"Agência Câmara de Notícias
Rádio Câmara
TV Câmara
Banco de Imagens
Assessoria de Imprensa
Comprove uma notícia",https://www.camara.leg.br/deputados/204459,Web Scraping HTML,https://www.camara.leg.br/deputados/quem-sao/resultado?search=&partido=&uf=&legislatura=&sexo=F&pagina=2,2025-12-07 15:59:24,BeautifulSoup - Câmara dos Deputados (filtro sexo=F)
Daniela Reinehr (PL-SC),Daniela Reinehr,PL,SC,2023 - 2027,(61) 3215-5677,dep.danielareinehr@camara.leg.br,04/04/1977,Maravilha - SC,,s,,"Agência Câmara de Notícias
Rádio Câmara
TV Câmara
Banco de Imagens
Assessoria de Imprensa
Comprove uma notícia",https://www.camara.leg.br/deputados/220557,Web Scraping HTML,https://www.camara.leg.br/deputados/quem-sao/resultado?search=&partido=&uf=&legislatura=&sexo=F&pagina=2,2025-12-07 15:59:24,BeautifulSoup - Câmara dos Deputados (filtro sexo=F)
Dayany Bittencourt (UNIAO-CE),Dayany Bittencourt,,,2023 - 2027,(61) 3215-5711,dep.dayanybittencourt@camara.leg.br,13/09/1981,Fortaleza - CE,,s,,"Agência Câmara de Notícias
Rádio Câmara
TV Câmara
Banco de Imagens
Assessoria de Imprensa
Comprove uma notícia",https://www.camara.leg.br/deputados/220659,Web Scraping HTML,https://www.camara.leg.br/deputados/quem-sao/resultado?search=&partido=&uf=&legislatura=&sexo=F&pagina=2,2025-12-07 15:59:24,BeautifulSoup - Câmara dos Deputados (filtro sexo=F)
Delegada Adriana Accorsi (PT-GO),Delegada Adriana Accorsi,PT,GO,2023 - 2027,(61) 3215-5740,dep.delegadaadrianaaccorsi@camara.leg.br,17/03/1973,Itapuranga - GO,,s,,"Agência Câmara de Notícias
Rádio Câmara
TV Câmara
Banco de Imagens
Assessoria de Imprensa
Comprove uma notícia",https://www.camara.leg.br/deputados/220565,Web Scraping HTML,https://www.camara.leg.br/deputados/quem-sao/resultado?search=&partido=&uf=&legislatura=&sexo=F&pagina=2,2025-12-07 15:59:24,BeautifulSoup - Câmara dos Deputados (filtro sexo=F)
Delegada Ione (AVANTE-MG),Delegada Ione,AVANTE,MG,2023 - 2027,(61) 3215-5606,dep.delegadaione@camara.leg.br,20/03/1974,Barbacena - MG,,s,,"Agência Câmara de Notícias
Rádio Câmara
TV Câmara
Banco de Imagens
Assessoria de Imprensa
Comprove uma notícia",https://www.camara.leg.br/deputados/220625,Web Scraping HTML,https://www.camara.leg.br/deputados/quem-sao/resultado?search=&partido=&uf=&legislatura=&sexo=F&pagina=2,2025-12-07 15:59:24,BeautifulSoup - Câmara dos Deputados (filtro sexo=F)
Delegada Katarina (PSD-SE),Delegada Katarina,PSD,SE,2023 - 2027,(61) 3215-5756,dep.delegadakatarina@camara.leg.br,05/10/1973,Aracaju - SE,,s,,"Agência Câmara de Notícias
Rádio Câmara
TV Câmara
Banco de Imagens
Assessoria de Imprensa
Comprove uma notícia",https://www.camara.leg.br/deputados/220561,Web Scraping HTML,https://www.camara.leg.br/deputados/quem-sao/resultado?search=&partido=&uf=&legislatura=&sexo=F&pagina=2,2025-12-07 15:59:24,BeautifulSoup - Câmara dos Deputados (filtro sexo=F)
Denise Pessôa (PT-RS),Denise Pessôa,PT,RS,2023 - 2027,(61) 3215-5832,dep.denisepessoa@camara.leg.br,17/06/1983,Caxias do Sul - RS,,s,,"Agência Câmara de Notícias
Rádio Câmara
TV Câmara
Banco de Imagens
Assessoria de Imprensa
Comprove uma notícia",https://www.camara.leg.br/deputados/220553,Web Scraping HTML,https://www.camara.leg.br/deputados/quem-sao/resultado?search=&partido=&uf=&legislatura=&sexo=F&pagina=2,2025-12-07 15:59:24,BeautifulSoup - Câmara dos Deputados (filtro sexo=F)
Detinha (PL-MA),Detinha,PL,MA,2023 - 2027,(61) 3215-5714,dep.detinha@camara.leg.br,25/01/1979,Cariús - CE,,s,,"Agência Câmara de Notícias
Rádio Câmara
TV Câmara
Banco de Imagens
Assessoria de Imprensa
Comprove uma notícia",https://www.camara.leg.br/deputados/220689,Web Scraping HTML,https://www.camara.leg.br/deputados/quem-sao/resultado?search=&partido=&uf=&legislatura=&sexo=F&pagina=2,2025-12-07 15:59:24,BeautifulSoup - Câmara dos Deputados (filtro sexo=F)
Dilvanda Faro (PT-PA),Dilvanda Faro,PT,PA,2023 - 2027,(61) 3215-5723,dep.dilvandafaro@camara.leg.br,08/05/1969,Bujaru - PA,,s,,"Agência Câmara de Notícias
Rádio Câmara
TV Câmara
Banco de Imagens
Assessoria de Imprensa
Comprove uma notícia",https://www.camara.leg.br/deputados/220671,Web Scraping HTML,https://www.camara.leg.br/deputados/quem-sao/resultado?search=&partido=&uf=&legislatura=&sexo=F&pagina=2,2025-12-07 15:59:24,BeautifulSoup - Câmara dos Deputados (filtro sexo=F)
Dra. Alessandra Haber (MDB-PA),Dra. Alessandra Haber,MDB,PA,2023 - 2027,(61) 3215-5432,dep.dra.alessandrahaber@camara.leg.br,15/09/1988,Belém - PA,,s,,"Agência Câmara de Notícias
Rádio Câmara
TV Câmara
Banco de Imagens
Assessoria de Imprensa
Comprove uma notícia",https://www.camara.leg.br/deputados/220674,Web Scraping HTML,https://www.camara.leg.br/deputados/quem-sao/resultado?search=&partido=&uf=&legislatura=&sexo=F&pagina=2,2025-12-07 15:59:24,BeautifulSoup - Câmara dos Deputados (filtro sexo=F)
Dra. Mayra Pinheiro (PL-CE),"Dra. Mayra Pinheiro
                    

Não está em exercício",PL,CE,3216 - 0000,(61) 3216-0000,,21/11/1966,Fortaleza - CE,,s,,"Agência Câmara de Notícias
Rádio Câmara
TV Câmara
Banco de Imagens
Assessoria de Imprensa
Comprove uma notícia",https://www.camara.leg.br/deputados/230088,Web Scraping HTML,https://www.camara.leg.br/deputados/quem-sao/resultado?search=&partido=&uf=&legislatura=&sexo=F&pagina=2,2025-12-07 15:59:24,BeautifulSoup - Câmara dos Deputados (filtro sexo=F)
Duda Salabert (PDT-MG),Duda Salabert,PDT,MG,2023 - 2027,(61) 3215-5840,dep.dudasalabert@camara.leg.br,02/05/1981,Belo Horizonte - MG,,s,,"Agência Câmara de Notícias
Rádio Câmara
TV Câmara
Banco de Imagens
Assessoria de Imprensa
Comprove uma notícia",https://www.camara.leg.br/deputados/220623,Web Scraping HTML,https://www.camara.leg.br/deputados/quem-sao/resultado?search=&partido=&uf=&legislatura=&sexo=F&pagina=2,2025-12-07 15:59:24,BeautifulSoup - Câmara dos Deputados (filtro sexo=F)
Elcione Barbalho (MDB-PA),Elcione Barbalho,MDB,PA,2023 - 2027,(61) 3215-5216,dep.elcionebarbalho@camara.leg.br,05/10/1944,Belém - PA,,s,,"Agência Câmara de Notícias
Rádio Câmara
TV Câmara
Banco de Imagens
Assessoria de Imprensa
Comprove uma notícia",https://www.camara.leg.br/deputados/74075,Web Scraping HTML,https://www.camara.leg.br/deputados/quem-sao/resultado?search=&partido=&uf=&legislatura=&sexo=F&pagina=2,2025-12-07 15:59:24,BeautifulSoup - Câmara dos Deputados (filtro sexo=F)
Eliane Braz (PSD-CE),"Eliane Braz
                    

Não está em exercício",PSD,CE,3216 - 0000,(61) 3216-0000,,08/09/1976,Iguatu - CE,,,,"Agência Câmara de Notícias
Rádio Câmara
TV Câmara
Banco de Imagens
Assessoria de Imprensa
Comprove uma notícia",https://www.camara.leg.br/deputados/226553,Web Scraping HTML,https://www.camara.leg.br/deputados/quem-sao/resultado?search=&partido=&uf=&legislatura=&sexo=F&pagina=2,2025-12-07 15:59:24,BeautifulSoup - Câmara dos Deputados (filtro sexo=F)
Elisangela Araujo (PT-BA),"Elisangela Araujo
                    

Não está em exercício",PT,BA,3216 - 0000,(61) 3216-0000,,29/08/1973,Valente - BA,,,,"Agência Câmara de Notícias
Rádio Câmara
TV Câmara
Banco de Imagens
Assessoria de Imprensa
Comprove uma notícia",https://www.camara.leg.br/deputados/229585,Web Scraping HTML,https://www.camara.leg.br/deputados/quem-sao/resultado?search=&partido=&uf=&legislatura=&sexo=F&pagina=2,2025-12-07 15:59:24,BeautifulSoup - Câmara dos Deputados (filtro sexo=F)
Eliza Virgínia (PP-PB),"Eliza Virgínia
                    

Não está em exercício",PP,PB,3216 - 0000,(61) 3216-0000,,02/04/1972,João Pessoa - PB,,,,"Agência Câmara de Notícias
Rádio Câmara
TV Câmara
Banco de Imagens
Assessoria de Imprensa
Comprove uma notícia",https://www.camara.leg.br/deputados/220008,Web Scraping HTML,https://www.camara.leg.br/deputados/quem-sao/resultado?search=&partido=&uf=&legislatura=&sexo=F&pagina=2,2025-12-07 15:59:24,BeautifulSoup - Câmara dos Deputados (filtro sexo=F)
Ely Santos (REPUBLICANOS-SP),Ely Santos,,,2023 - 2027,(61) 3215-5926,dep.elysantos@camara.leg.br,13/01/1977,São Paulo - SP,,s,,"Agência Câmara de Notícias
Rádio Câmara
TV Câmara
Banco de Imagens
Assessoria de Imprensa
Comprove uma notícia",https://www.camara.leg.br/deputados/218086,Web Scraping HTML,https://www.camara.leg.br/deputados/quem-sao/resultado?search=&partido=&uf=&legislatura=&sexo=F&pagina=2,2025-12-07 15:59:24,BeautifulSoup - Câmara dos Deputados (filtro sexo=F)
Enfermeira Ana Paula (PODE-CE),Enfermeira Ana Paula,PODE,CE,2023 - 2027,(61) 3215-5936,dep.enfermeiraanapaula@camara.leg.br,17/11/1983,Fortaleza - CE,,s,,"Agência Câmara de Notícias
Rádio Câmara
TV Câmara
Banco de Imagens
Assessoria de Imprensa
Comprove uma notícia",https://www.camara.leg.br/deputados/225730,Web Scraping HTML,https://www.camara.leg.br/deputados/quem-sao/resultado?search=&partido=&uf=&legislatura=&sexo=F&pagina=2,2025-12-07 15:59:24,BeautifulSoup - Câmara dos Deputados (filtro sexo=F)
Enfermeira Rejane (PCdoB-RJ),Enfermeira Rejane,PCdoB,RJ,2023 - 2027,(61) 3215-5313,dep.enfermeirarejane@camara.leg.br,24/08/1963,Rio de Janeiro - RJ,,s,,"Agência Câmara de Notícias
Rádio Câmara
TV Câmara
Banco de Imagens
Assessoria de Imprensa
Comprove uma notícia",https://www.camara.leg.br/deputados/230765,Web Scraping HTML,https://www.camara.leg.br/deputados/quem-sao/resultado?search=&partido=&uf=&legislatura=&sexo=F&pagina=2,2025-12-07 15:59:24,BeautifulSoup - Câmara dos Deputados (filtro sexo=F)
Erika Hilton (PSOL-SP),Erika Hilton,PSOL,SP,2023 - 2027,(61) 3215-5636,dep.erikahilton@camara.leg.br,09/12/1992,Franco da Rocha - SP,,s,,"Agência Câmara de Notícias
Rádio Câmara
TV Câmara
Banco de Imagens
Assessoria de Imprensa
Comprove uma notícia",https://www.camara.leg.br/deputados/220645,Web Scraping HTML,https://www.camara.leg.br/deputados/quem-sao/resultado?search=&partido=&uf=&legislatura=&sexo=F&pagina=2,2025-12-07 15:59:24,BeautifulSoup - Câmara dos Deputados (filtro sexo=F)
Erika Kokay (PT-DF),Erika Kokay,PT,DF,2023 - 2027,(61) 3215-5203,dep.erikakokay@camara.leg.br,15/08/1957,Fortaleza - CE,,s,,"Agência Câmara de Notícias
Rádio Câmara
TV Câmara
Banco de Imagens
Assessoria de Imprensa
Comprove uma notícia",https://www.camara.leg.br/deputados/160575,Web Scraping HTML,https://www.camara.leg.br/deputados/quem-sao/resultado?search=&partido=&uf=&legislatura=&sexo=F&pagina=2,2025-12-07 15:59:24,BeautifulSoup - Câmara dos Deputados (filtro sexo=F)
Fatima Pelaes (REPUBLICANOS-AP),Fatima Pelaes,,,2023 - 2027,(61) 3215-5403,dep.fatimapelaes@camara.leg.br,13/02/1959,Macapá - AP,,s,,"Agência Câmara de Notícias
Rádio Câmara
TV Câmara
Banco de Imagens
Assessoria de Imprensa
Comprove uma notícia",https://www.camara.leg.br/deputados/74065,Web Scraping HTML,https://www.camara.leg.br/deputados/quem-sao/resultado?search=&partido=&uf=&legislatura=&sexo=F&pagina=2,2025-12-07 15:59:24,BeautifulSoup - Câmara dos Deputados (filtro sexo=F)
